timestamp,soil_moisture,temperature,humidity,rainfall,decision,confidence(%)
2026-08-23T05:14:24,37.67,22.05,57.11,0,SKIP,97.8
2026-08-23T05:14:25,39.18,22.39,67.88,1.1,SKIP,99.8
2026-08-23T05:14:25,37.56,23.08,70.22,0,SKIP,98.3
2026-08-23T05:14:25,33.88,24.03,68.38,0,SKIP,89.1
2026-08-23T05:14:26,32.36,23.07,69.66,0,SKIP,90.7
2026-08-23T05:14:26,28.41,22.12,67.28,0,SKIP,85.8
2026-08-23T05:14:26,26.86,20.74,68.62,0,SKIP,86.9
2026-08-23T05:14:27,27.28,21.53,66.22,0,SKIP,84.4
2026-08-23T05:14:27,28.55,22.2,63.33,0,SKIP,85.4
2026-08-23T05:14:27,37.43,21.1,71.05,9.54,SKIP,99.7
2026-08-23T05:14:28,34.86,21.83,70.13,0,SKIP,87.2
2026-08-23T05:14:28,31.31,20.52,68.24,0,SKIP,87.8
2026-08-23T05:14:28,28.9,20.98,66.71,0,SKIP,84.1
2026-08-23T05:14:28,30.03,19.89,66.73,0,SKIP,83.6
2026-08-23T05:14:29,30.89,21.38,65.88,0,SKIP,86.3
2026-08-23T05:14:37,37.67,22.05,57.11,0,SKIP,97.8
2026-08-23T05:14:37,39.18,22.39,67.88,1.1,SKIP,99.8
2026-08-23T05:14:37,37.56,23.08,70.22,0,SKIP,98.3
2026-08-23T05:14:38,33.88,24.03,68.38,0,SKIP,89.1
2026-08-23T05:14:38,32.36,23.07,69.66,0,SKIP,90.7
2026-08-23T05:14:38,28.41,22.12,67.28,0,SKIP,85.8
2026-08-23T05:14:39,26.86,20.74,68.62,0,SKIP,86.9
2026-08-23T05:14:39,27.28,21.53,66.22,0,SKIP,84.4
2026-08-23T05:14:39,28.55,22.2,63.33,0,SKIP,85.4
2026-08-23T05:14:39,37.43,21.1,71.05,9.54,SKIP,99.7
2026-08-23T05:14:40,34.86,21.83,70.13,0,SKIP,87.2
2026-08-23T05:14:40,31.31,20.52,68.24,0,SKIP,87.8
2026-08-23T05:14:40,28.9,20.98,66.71,0,SKIP,84.1
2026-08-23T05:14:41,30.03,19.89,66.73,0,SKIP,83.6
2026-08-23T05:14:41,30.89,21.38,65.88,0,SKIP,86.3
